ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20230804,181.99,185.52,187.38,181.92,191.17,-4.8,115956820,21375248285.16,184.34
AAPL,20230803,191.17,191.57,192.37,190.69,192.58,-0.73,62243282,11924543690.68,191.58
AAPL,20230802,192.58,195.04,195.18,191.85,195.6,-1.55,50389329,9722470366.46,192.95
AAPL,20230801,195.6,196.24,196.73,195.28,196.45,-0.43,35281426,6910407087.92,195.87
AAPL,20230731,196.45,196.06,196.49,195.26,195.83,0.32,38824114,7614814188.33,196.14
AAPL,20230728,195.83,194.67,196.63,194.14,193.22,1.35,48291442,9456198856.43,195.82
AAPL,20230727,193.22,196.02,197.2,192.55,194.5,-0.66,47460180,9251707615.12,194.94
AAPL,20230726,194.5,193.67,195.64,193.32,193.62,0.45,47471868,9227002545.05,194.37
AAPL,20230725,193.62,193.33,194.44,192.91,192.75,0.45,37283200,7226300662.08,193.82
AAPL,20230724,192.75,193.41,194.91,192.25,191.94,0.42,45505098,8792791273.75,193.23
AAPL,20230721,191.94,194.1,194.97,191.23,193.13,-0.62,71951688,13868299322.88,192.74
AAPL,20230720,193.13,195.09,196.47,192.5,195.1,-1.01,59581196,11577467073.48,194.31
AAPL,20230719,195.1,193.1,198.23,192.65,193.73,0.71,80507313,15692735022.63,194.92
AAPL,20230718,193.73,193.35,194.33,192.41,193.99,-0.13,48353774,9349879155.74,193.36
AAPL,20230717,193.99,191.9,194.32,191.81,190.69,1.73,50520161,9765694134.97,193.3
AAPL,20230714,190.69,190.23,191.18,189.63,190.54,0.08,41616243,7926221318.53,190.46
AAPL,20230713,190.54,190.5,191.19,189.78,189.77,0.41,41342340,7878324471.65,190.56
AAPL,20230712,189.77,189.68,191.7,188.47,188.08,0.9,60750247,11541890827.33,189.99
AAPL,20230711,188.08,189.16,189.3,186.6,188.61,-0.28,46638118,8758153523.97,187.79
AAPL,20230710,188.61,189.26,189.99,187.04,190.68,-1.09,59922165,11284985536.82,188.33
AAPL,20230707,190.68,191.41,192.67,190.24,191.81,-0.59,46814997,8962866939.14,191.45
AAPL,20230706,191.81,189.84,192.02,189.2,191.33,0.25,45156008,8614714642.97,190.78
AAPL,20230705,191.33,191.57,192.98,190.62,192.46,-0.59,46920262,8989621909.52,191.59
AAPL,20230703,192.46,193.78,193.88,191.76,193.97,-0.78,31458200,6059947525.76,192.63
AAPL,20230630,193.97,191.63,194.48,191.26,189.59,2.31,85213188,16452375220.17,193.07
